Trace,Exp,Core_0_IPC,Core_0_instructions,Core_0_cycles,Core_0_LLC_total_access,Core_0_LLC_total_hit,Core_0_LLC_total_miss,Core_0_LLC_loads,Core_0_LLC_load_hit,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_0_L2C_total_access,Core_0_L2C_total_hit,Core_0_L2C_total_miss,Core_0_L2C_loads,Core_0_L2C_load_hit,Core_0_L2C_load_miss,Core_0_L2C_prefetch_requested,Core_0_L2C_prefetch_issued,Core_0_L2C_prefetch_useful,Core_0_L2C_prefetch_useless,Core_0_L2C_prefetch_late,Core_0_L2C_prefetch_filled,Core_0_L2C_prefetch_dropped,Core_0_L2C_average_miss_latency,Core_0_branch_prediction_accuracy,Core_0_branch_MPKI,Core_0_average_ROB_occupancy_at_mispredict,meta_selected_tsetlin,meta_selected_linucb,meta_selected_stride,meta_selected_pct_tsetlin,meta_selected_pct_linucb,meta_selected_pct_stride,meta_accuracy_ema_tsetlin,meta_accuracy_ema_linucb,meta_accuracy_ema_stride,meta_conf_ema_tsetlin,meta_conf_ema_linucb,meta_conf_ema_stride,meta_total_invocations,meta_all_empty,meta_stride_fallback,meta_single_ml,meta_explore,meta_greedy,meta_loser_boost,meta_sticky_switches,meta_epsilon_current,tsetlin_pt_lookup,tsetlin_pt_hit,tsetlin_pt_insert,tsetlin_predict_called,tsetlin_predict_explore,tsetlin_predict_exploit,tsetlin_predict_predicted,tsetlin_predict_multi_deg_called,tsetlin_predict_multi_deg_issued,tsetlin_reward_called,tsetlin_reward_pt_found,tsetlin_reward_correct_timely,tsetlin_reward_correct_untimely,tsetlin_reward_incorrect,tsetlin_learn_called,tsetlin_learn_positive,tsetlin_learn_negative,tsetlin_featurewise_pooled_predicts,tsetlin_featurewise_weight_updates,linucb_pt_lookup,linucb_pt_hit,linucb_pt_insert,linucb_predict_called,linucb_predict_explore,linucb_predict_exploit,linucb_predict_predicted,linucb_predict_multi_deg_called,linucb_predict_multi_deg_issued,linucb_predict_gating_checked,linucb_predict_gating_suppressed,linucb_reward_called,linucb_reward_pt_found,linucb_reward_correct_timely,linucb_reward_correct_untimely,linucb_reward_incorrect,linucb_learn_called,linucb_learn_positive,linucb_learn_negative,linucb_featurewise_pooled_predicts,linucb_featurewise_weight_updates,linucb_suppress_called,linucb_suppress_suppressed,stride_tracker_lookup,stride_tracker_hit,stride_stride_pos,stride_stride_neg,stride_pref_generated,stride_pref_stride_match,Filter
433.milc-127B,spp_MTPS4800,0.69203,100000002,144502842,4859233,2547717,2311516,1017486,552383,465103,236759,327675,3150901,1298954,1851947,1563398,341043,1222355,6753946,6753946,392048,50525,219450,442635,0,142.98316,99.99864,0.00078,92.41026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433.milc-127B,bingo_MTPS4800,0.69589,100000002,143701744,2483147,45557,2437590,644714,5466,639248,236760,641986,3220119,1419079,1801040,1563398,742059,821339,1622230,1622230,967275,887,222540,968175,0,259.96865,99.99864,0.00078,92.42308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433.milc-127B,mlop_MTPS4800,0.66395,100000002,150613227,6428207,835967,5592240,944964,493456,451508,236760,496951,3093633,1170579,1923054,1563398,496513,1066885,5637335,5637335,715854,253514,145921,969492,0,208.52469,99.99864,0.00078,90.03846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433.milc-127B,pythia_MTPS4800,0.64133,100000002,155925341,2481493,52066,2429427,566507,74,566433,236760,628783,5365493,3561815,1803678,1563398,897066,666332,4475486,4475486,1159493,70982,138963,1230495,0,244.32111,99.99864,0.00078,91.02564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433.milc-127B,linucb_MTPS4800,0.559,100000002,178891001,2605229,53355,2551874,752451,1082,751369,236760,627574,3485241,1556422,1928819,1563398,740445,822953,1393936,1393936,986136,150724,71679,1137167,0,230.45307,99.99864,0.00078,92.05128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4718857,2365646,1745067,2069799,10351,2059448,1393936,608158,206777,2053195,0,2069799,1030952,887017,143935,338177,1744831,1034107,338177,2069799,0,2053195,0,0,0,0,0,0,0,0
433.milc-127B,tsetlin_MTPS4800,0.57138,100000002,175013610,3690950,52870,3638080,855463,489,854974,236760,628340,4523933,1498726,3025207,1563398,493952,1069446,3532498,3532498,628773,1731361,228737,2362210,0,207.77543,99.99864,0.00078,90.61538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6323695,2073081,2031334,2069799,22639,2047160,3532498,1853218,1679277,2069799,882199,259043,623156,948323,2031104,890823,948323,2069799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433.milc-127B,meta_selector_MTPS4800,0.61141,100000002,163556929,3415805,54356,3361449,637758,458,637300,236760,626746,5286287,2539873,2746414,1563398,805879,757519,4078108,4078108,1054747,1269959,123189,2326182,0,221.30258,99.99864,0.00078,89.9359,962112,971693,135994,46.48335,46.94625,6.5704,1.0164,1.08081,0.70369,0.0588,0.18104,0.45687,2069799,10716,135994,833178,67638,1032989,109641,53,0.05,6283240,1573459,2036677,2069799,22651,2047148,3530189,1853854,1676052,2069799,871122,159090,712032,964115,2036058,879427,964115,2069799,0,5888469,2125888,1757606,2069799,20651,2049148,2602774,1180295,1422479,2047935,0,2069799,1020527,697794,322733,352067,1755953,1025550,352067,2069799,0,2047935,0,2069799,2069689,2057929,11757,3004237,1750795,0
433.milc-127B,tsetlin_no_dyn_deg,0.5355,100000002,186740478,2984027,53083,2930944,974983,834,974149,236760,627680,3455888,1145606,2310282,1563398,432967,1130431,1555060,1555060,529403,735003,164694,1265290,0,226.55222,99.99864,0.00078,92.30769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4913799,2023793,2046149,2069799,22639,2047160,1555060,0,0,2069799,734853,528314,206539,735310,2045649,743855,735310,2069799,1488697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433.milc-127B,linucb_no_dyn_deg,0.56086,100000002,178298259,2568242,53344,2514898,741697,1646,740051,236760,627929,3342979,1451242,1891737,1563398,751451,811947,1219880,1219880,999447,122632,70426,1122196,0,246.90694,99.99864,0.00078,92.48718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4781009,2559153,1700665,2069799,10315,2059484,1219880,0,0,2053267,0,2069799,1067823,993341,74482,300122,1700436,1077012,300122,2069799,1765605,2053267,0,0,0,0,0,0,0,0
433.milc-127B,tsetlin_no_featurewise,0.57154,100000002,174965820,3316242,54414,3261828,749307,358,748949,236760,626670,4192934,1550362,2642572,1563398,536896,1026502,3314977,3314977,739568,1147094,315345,1888114,0,226.57692,99.99864,0.00078,89.38462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795023,2142895,1974815,2069799,22639,2047160,3314977,1714735,1572851,2069799,1151015,381266,769749,559392,1974645,1173946,559392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433.milc-127B,linucb_no_featurewise,0.60279,100000002,165896623,2626751,53668,2573083,664249,1179,663070,236760,627495,3546982,1596498,1950484,1563398,855614,707784,1439258,1439258,1121529,181209,44744,1303055,0,249.54695,99.99864,0.00078,91.34615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5174507,2777844,1544984,2069799,10393,2059406,1439258,683536,162420,1990650,0,2069799,1089059,980446,108613,211199,1544813,1101670,211199,0,0,1990650,0,0,0,0,0,0,0,0
433.milc-127B,meta_selector_no_explore,0.59929,100000002,166864163,3402225,53997,3348228,642334,508,641826,236760,627101,5264975,2532059,2732916,1563398,793861,769537,4041235,4041235,1048183,1244772,130368,2294432,0,236.77428,99.99864,0.00078,92.55128,956704,976910,136185,46.22207,47.1983,6.57962,1.05869,0.98317,0.70074,5e-05,0.17963,0.45687,2069799,11352,136185,810135,0,1123479,112577,47,0,6254140,1582833,2036206,2069799,22653,2047146,3445760,1760367,1589444,2069799,885633,153101,732532,952214,2035900,894013,952214,2069799,0,5836762,2109030,1798045,2069799,20718,2049081,2725931,1200777,1525154,2047926,0,2069799,1043268,702033,341235,357084,1794266,1048547,357084,2069799,0,2047926,0,2069799,2069689,2057391,12295,3000398,1748864,0
433.milc-127B,linucb_no_suppress,0.56019,100000002,178509294,2569999,53300,2516699,744190,1627,742563,236760,627923,3343333,1449839,1893494,1563398,750649,812749,1220096,1220096,998289,125301,68853,1123710,0,246.86323,99.99864,0.00078,92.48718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4779799,2555600,1702547,2069799,10354,2059445,1220096,1486,1058,0,0,2069799,1065222,992095,73127,304229,1702321,1074334,304229,2069799,1767362,2053232,0,0,0,0,0,0,0,0
450.soplex-247B,nopref,0.27398,100000000,364986403,6130996,2995307,3135689,3634599,1448462,2186137,502568,446984,7650832,3320384,4330448,4504125,869490,3634635,0,0,0,0,0,0,0,168.28725,95.12361,8.43054,83.16614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.soplex-247B,spp,0.32235,100000000,310218885,10356434,6529474,3826960,3125781,1479164,1646617,470363,413407,8305760,3954825,4350935,4503913,1295091,3208822,7860275,7860258,542793,23590,83139,566384,17,158.1325,95.12361,8.43054,83.57054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.soplex-247B,bingo,0.35845,100000000,278978787,12949456,7343694,5605762,2775334,2021888,753446,495468,322858,9817275,5198180,4619095,4504110,1688754,2815356,10467253,10467253,988963,329279,40749,1318242,0,181.02556,95.12361,8.43054,82.1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.soplex-247B,mlop,0.32443,100000000,308237599,8916582,4095684,4820898,3019388,1780234,1239154,481425,459290,8475538,3857965,4617573,4503776,1403779,3099997,4342987,4342987,705185,321786,81201,1026971,0,160.28699,95.12361,8.43054,83.66236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.soplex-247B,pythia,0.38322,100000000,260949002,8073503,4024703,4048800,1516600,790667,725933,513196,511041,19824884,13638426,6186458,4504341,2773498,1730843,17563965,17447246,2454419,1976349,216396,4430777,116719,191.77566,95.12361,8.43054,81.88547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.soplex-247B,linucb,0.33368,100000000,299685095,7476827,3667915,3808912,2098603,917519,1181084,513859,567920,11290290,5684378,5605912,4504186,2137396,2366790,4965429,4965429,1716538,1351310,270395,3067852,0,171.99484,95.12361,8.43054,82.53219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13618213,5619625,5111948,5398420,27088,5371332,4965429,102747,99960,5360483,0,5398420,2310306,1484919,825387,2571617,5111909,2359038,2571617,5398420,0,5360483,0,0,0,0,0,0,0,0
